No,Date,SO2,NOx,RSPM,SPM,AQI
1,18-06-2015,10,14,43,115,43
2,22-06-2015,10,12,40,88,40
3,25-06-2015,9,12,36,81,36
4,29-06-2015,11,16,51,133,51
5,02-07-2015,11,17,55,146,55
6,06-07-2015,13,19,57,147,57
7,09-07-2015,12,19,53,135,53
8,13-07-2015,13,20,60,155,60
9,16-07-2015,12,18,54,140,54
10,20-07-2015,10,16,51,125,51
11,23-07-2015,9,14,47,114,47
12,27-07-2015,8,12,42,102,42
13,30-07-2015,7,11,35,87,35
14,03-08-2015,8,11,41,97,41
15,06-08-2015,8,12,43,102,43
16,10-08-2015,8,13,48,108,48
17,13-08-2015,9,13,51,115,51
18,17-08-2015,10,16,54,122,54
19,20-08-2015,10,17,57,130,57
20,24-08-2015,11,19,58,132,58
21,27-08-2015,11,19,62,141,62
22,31-08-2015,12,20,65,150,65
23,03-09-2015,12,21,67,159,67
24,07-09-2015,13,22,67,154,67
25,10-09-2015,12,20,68,150,68
26,14-09-2015,14,24,72,165,72
27,17-09-2015,14,25,75,172,75
28,21-09-2015,15,26,76,174,76
29,24-09-2015,15,26,73,173,73
30,28-09-2015,15,26,66,146,66
31,01-10-2015,15,28,72,163,72
32,05-10-2015,15,26,74,158,74
33,08-10-2015,16,27,72,162,72
34,12-10-2015,13,24,67,143,67
35,15-10-2015,14,25,69,151,69
36,19-10-2015,14,27,69,152,69
37,22-10-2015,15,27,72,166,72
38,26-10-2015,16,30,74,157,74
39,29-10-2015,16,31,76,165,76
40,02-11-2015,16,30,73,160,73
41,05-11-2015,16,31,76,167,76
42,09-11-2015,17,38,81,174,81
43,19-11-2015,11,24,61,137,61
44,23-11-2015,11,26,62,141,62
45,26-11-2015,12,27,65,149,65
46,30-11-2015,12,27,67,151,67
47,03-12-2015,12,27,69,155,69
48,07-12-2015,13,29,72,163,72
49,10-12-2015,13,30,78,154,78
50,14-12-2015,13,29,71,166,71
51,17-12-2015,13,30,74,173,74
52,21-12-2015,14,31,72,169,72
53,24-12-2015,14,31,69,171,69
54,28-12-2015,15,32,69,167,69
55,31-12-2015,15,33,73,178,73
56,04-01-2016,16,35,72,176,72
57,07-01-2016,15,33,68,161,68
58,11-01-2016,17,36,69,167,69
59,14-01-2016,17,37,73,176,73
60,18-01-2016,17,33,76,185,76
61,21-01-2016,17,31,70,172,70
62,25-01-2016,16,30,66,165,66
63,28-01-2016,15,28,61,151,61
64,01-02-2016,14,26,63,160,63
65,04-02-2016,14,25,59,148,59
66,08-02-2016,14,24,67,175,67
67,11-02-2016,13,24,60,153,60
68,15-02-2016,10,20,59,157,59
69,18-02-2016,11,21,63,168,63
70,22-02-2016,12,22,66,176,66
71,25-02-2016,10,21,68,179,68
72,29-02-2016,14,23,69,189,69
73,03-03-2016,12,21,60,158,60
74,07-03-2016,11,19,58,150,58
75,10-03-2016,11,18,56,142,56
76,14-03-2016,9,21,60,154,60
77,17-03-2016,12,21,64,165,64
78,21-03-2016,12,22,65,170,65
79,24-03-2016,12,23,69,178,69
80,28-03-2016,13,24,74,191,74
81,31-03-2016,13,25,77,201,77
82,04-04-2016,11,20,65,156,65
83,07-04-2016,13,23,72,175,72
84,11-04-2016,13,25,70,177,70
85,14-04-2016,13,25,74,186,74
86,18-04-2016,14,26,76,194,76
87,21-04-2016,14,27,83,206,83
88,25-04-2016,15,28,65,161,65
89,28-04-2016,15,28,69,172,69
90,02-06-2016,11,19,50,115,50
91,06-06-2016,11,18,48,108,48
92,09-06-2016,11,17,46,100,46
93,13-06-2016,12,22,55,125,55
94,16-06-2016,11,19,53,119,53
95,20-06-2016,13,25,63,138,63
96,27-06-2016,9,19,50,104,50
97,30-06-2016,7,16,46,98,46
98,04-07-2016,12,12,42,85,42
99,07-07-2016,6,12,38,77,38
100,11-07-2016,5,10,33,69,33
101,14-07-2016,6,11,42,88,42
102,18-07-2016,7,13,48,104,48
103,21-07-2016,7,14,50,110,50
104,25-07-2016,7,14,53,119,53
105,28-07-2016,7,15,56,131,56
106,08-08-2016,8,16,58,142,58
107,11-08-2016,8,17,60,150,60
108,15-08-2016,9,19,63,154,63
109,18-08-2016,8,16,56,138,56
110,22-08-2016,10,20,65,133,65
111,25-08-2016,10,21,71,152,71
112,29-08-2016,11,20,73,158,73
113,01-09-2016,12,21,76,166,76
114,05-09-2016,12,21,76,173,76
115,08-09-2016,11,19,70,160,70
116,12-09-2016,11,19,74,168,74
117,15-09-2016,11,20,76,176,76
118,19-09-2016,11,18,69,160,69
119,22-09-2016,10,16,60,143,60
120,26-09-2016,9,14,57,119,57
121,29-09-2016,9,14,52,109,52
122,03-10-2016,10,16,51,110,51
123,06-10-2016,11,17,54,116,54
124,10-10-2016,9,14,50,104,50
125,13-10-2016,9,14,51,108,51
126,17-10-2016,9,15,51,108,51
127,20-10-2016,10,15,53,115,53
128,24-10-2016,10,16,58,128,58
129,27-10-2016,11,19,66,147,66
130,31-10-2016,9,14,52,109,52
131,03-11-2016,9,13,49,102,49
132,07-11-2016,8,15,47,98,47
133,10-11-2016,8,14,43,91,43
134,14-11-2016,8,13,47,98,47
135,17-11-2016,8,14,50,106,50
136,21-11-2016,9,15,53,113,53
137,24-11-2016,9,15,56,119,56
138,28-11-2016,9,16,58,124,58
139,01-12-2016,10,17,60,130,60
140,05-12-2016,11,21,64,136,64
141,08-12-2016,11,21,66,143,66
142,12-12-2016,11,22,69,153,69
143,15-12-2016,12,22,69,150,69
144,19-12-2016,12,23,70,156,70
145,22-12-2016,13,24,73,164,73
146,26-12-2016,13,24,73,165,73
147,29-12-2016,13,25,75,171,75
148,02-01-2017,10,16,69,157,69
149,05-01-2017,10,16,73,157,73
150,09-01-2017,15,31,70,174,70
151,12-01-2017,16,32,73,180,73
152,16-01-2017,15,27,57,148,57
153,19-01-2017,14,27,53,141,53
154,23-01-2017,15,28,58,157,58
155,26-01-2017,15,27,52,137,52
156,30-01-2017,16,31,62,166,62
157,02-02-2017,15,30,57,156,57
158,06-02-2017,13,25,55,152,55
159,09-02-2017,14,25,58,157,58
160,13-02-2017,13,23,53,147,53
161,16-02-2017,14,25,57,157,57
162,20-02-2017,14,25,61,169,61
163,23-02-2017,15,27,66,182,66
164,27-02-2017,18,32,69,178,69
